date,value,source,series_id
2020-06-01,13088,ABS,BA_GCCSA/1.1.9.1.100.10.AUS.M
2020-07-01,16334,ABS,BA_GCCSA/1.1.9.1.100.10.AUS.M
2020-08-01,14204,ABS,BA_GCCSA/1.1.9.1.100.10.AUS.M
2020-09-01,16764,ABS,BA_GCCSA/1.1.9.1.100.10.AUS.M
2020-10-01,18174,ABS,BA_GCCSA/1.1.9.1.100.10.AUS.M
2020-11-01,18198,ABS,BA_GCCSA/1.1.9.1.100.10.AUS.M
2020-12-01,17460,ABS,BA_GCCSA/1.1.9.1.100.10.AUS.M
2021-01-01,13230,ABS,BA_GCCSA/1.1.9.1.100.10.AUS.M
2021-02-01,19652,ABS,BA_GCCSA/1.1.9.1.100.10.AUS.M
2021-03-01,24597,ABS,BA_GCCSA/1.1.9.1.100.10.AUS.M
2021-04-01,21112,ABS,BA_GCCSA/1.1.9.1.100.10.AUS.M
2021-05-01,21152,ABS,BA_GCCSA/1.1.9.1.100.10.AUS.M
2021-06-01,20134,ABS,BA_GCCSA/1.1.9.1.100.10.AUS.M
2021-07-01,19348,ABS,BA_GCCSA/1.1.9.1.100.10.AUS.M
2021-08-01,19437,ABS,BA_GCCSA/1.1.9.1.100.10.AUS.M
2021-09-01,19522,ABS,BA_GCCSA/1.1.9.1.100.10.AUS.M
2021-10-01,16294,ABS,BA_GCCSA/1.1.9.1.100.10.AUS.M
2021-11-01,17439,ABS,BA_GCCSA/1.1.9.1.100.10.AUS.M
2021-12-01,16202,ABS,BA_GCCSA/1.1.9.1.100.10.AUS.M
2022-01-01,10150,ABS,BA_GCCSA/1.1.9.1.100.10.AUS.M
2022-02-01,18010,ABS,BA_GCCSA/1.1.9.1.100.10.AUS.M
2022-03-01,16374,ABS,BA_GCCSA/1.1.9.1.100.10.AUS.M
2022-04-01,14632,ABS,BA_GCCSA/1.1.9.1.100.10.AUS.M
2022-05-01,17217,ABS,BA_GCCSA/1.1.9.1.100.10.AUS.M
2022-06-01,16774,ABS,BA_GCCSA/1.1.9.1.100.10.AUS.M
2022-07-01,14271,ABS,BA_GCCSA/1.1.9.1.100.10.AUS.M
2022-08-01,18338,ABS,BA_GCCSA/1.1.9.1.100.10.AUS.M
2022-09-01,17475,ABS,BA_GCCSA/1.1.9.1.100.10.AUS.M
2022-10-01,15135,ABS,BA_GCCSA/1.1.9.1.100.10.AUS.M
2022-11-01,16368,ABS,BA_GCCSA/1.1.9.1.100.10.AUS.M
2022-12-01,15693,ABS,BA_GCCSA/1.1.9.1.100.10.AUS.M
2023-01-01,9806,ABS,BA_GCCSA/1.1.9.1.100.10.AUS.M
2023-02-01,13112,ABS,BA_GCCSA/1.1.9.1.100.10.AUS.M
2023-03-01,14320,ABS,BA_GCCSA/1.1.9.1.100.10.AUS.M
2023-04-01,11534,ABS,BA_GCCSA/1.1.9.1.100.10.AUS.M
2023-05-01,16719,ABS,BA_GCCSA/1.1.9.1.100.10.AUS.M
2023-06-01,13689,ABS,BA_GCCSA/1.1.9.1.100.10.AUS.M
2023-07-01,12831,ABS,BA_GCCSA/1.1.9.1.100.10.AUS.M
2023-08-01,14322,ABS,BA_GCCSA/1.1.9.1.100.10.AUS.M
